history_date,temperature,precipitation,humidity
20220915T0400,17.160246,0.3,91.9164
20220915T0500,16.980246,0.5,93.21452
20220915T0600,16.790245,0.7,95.07962
20220915T0700,17.300245,0.6,94.31081
20220915T0800,18.040245,0.2,92.2615
20220915T0900,18.570246,0.1,89.059364
20220915T1000,19.120245,0.2,85.59876
20220915T1100,19.190245,0.4,87.81463
20220915T1200,18.970245,2.1,89.88641
20220915T1300,18.510244,2.5,89.39626
20220915T1400,18.530245,1.7,90.89086
20220915T1500,19.010244,0.8,87.24168
20220915T1600,18.380245,0.6,84.86706
20220915T1700,18.350245,0.0,88.87171
20220915T1800,17.550245,0.0,88.63648
20220915T1900,16.950245,0.0,89.33405
20220915T2000,16.380245,0.0,92.10754
20220915T2100,16.410246,0.0,90.28083
20220915T2200,14.640245,0.0,96.55924
20220915T2300,14.410245,0.0,96.48984
20220916T0000,14.230246,0.0,95.41798
20220916T0100,14.030245,0.0,94.84917
20220916T0200,14.230246,0.0,94.114586
20220916T0300,14.450245,0.0,93.57197
20220916T0400,14.500245,0.0,93.02467
20220916T0500,14.690246,0.1,90.272705
20220916T0600,14.450245,0.0,92.05112
20220916T0700,15.210245,0.5,88.555145
20220916T0800,15.840245,0.2,83.54125
20220916T0900,16.710245,0.2,76.659256
20220916T1000,16.510246,0.2,84.66397
20220916T1100,16.450245,0.3,81.55954
20220916T1200,16.260246,0.3,76.738754
20220916T1300,16.430246,0.2,72.5131
20220916T1400,16.140245,0.4,70.12629
20220916T1500,16.170246,0.1,67.82027
20220916T1600,15.650246,0.3,68.16884
20220916T1700,14.590245,0.2,73.1484
20220916T1800,13.640245,0.0,75.89668
20220916T1900,13.450245,0.3,71.607735
20220916T2000,12.830245,0.0,71.43748
20220916T2100,12.300245,0.0,73.01918
20220916T2200,12.150246,0.0,77.57649
20220916T2300,11.670245,0.0,78.88886
20220917T0000,11.150246,0.0,81.10828
20220917T0100,11.000245,0.1,80.53335
20220917T0200,10.610246,0.0,81.92608
20220917T0300,10.230246,0.0,82.55213
20220917T0400,9.830245,0.0,82.61209
20220917T0500,9.520246,0.0,81.604744
20220917T0600,9.880245,0.0,78.934296
20220917T0700,10.380245,0.1,74.18497
20220917T0800,11.180245,0.1,69.25399
20220917T0900,11.640245,0.2,66.237305
20220917T1000,12.280245,0.2,59.60998
20220917T1100,13.030245,0.2,57.29814
20220917T1200,13.210245,0.3,59.63641
20220917T1300,13.440246,0.2,61.165607
20220917T1400,13.950245,0.0,61.630413
20220917T1500,14.530245,0.0,61.643253
20220917T1600,14.100245,0.0,60.234013
20220917T1700,13.210245,0.0,61.92189
20220917T1800,12.290245,0.0,66.52165
20220917T1900,11.480246,1.0,73.014496
20220917T2000,11.180245,0.3,77.57736
20220917T2100,10.860246,0.0,79.742775
20220917T2200,10.770246,0.0,81.83587
20220917T2300,10.460245,0.0,82.86674
20220918T0000,10.050245,0.0,83.9593
20220918T0100,9.460245,0.0,86.111465
20220918T0200,8.950245,0.0,88.09761
20220918T0300,8.420245,0.0,88.656456
20220918T0400,8.300245,0.0,88.03312
20220918T0500,7.9102454,0.0,88.42308
20220918T0600,8.000245,0.0,88.00304
20220918T0700,9.8102455,0.0,82.04132
20220918T0800,11.370245,0.0,74.36733
20220918T0900,12.930245,0.0,66.66381
20220918T1000,14.040245,0.0,62.20808
20220918T1100,15.170245,0.0,55.924465
20220918T1200,15.850245,0.0,53.490845
20220918T1300,16.310246,0.0,50.690002
20220918T1400,16.510246,0.0,48.943764
20220918T1500,16.240246,0.0,49.00432
20220918T1600,15.800245,0.0,49.986694
20220918T1700,15.160245,0.0,51.009007
20220918T1800,14.530245,0.0,53.8438
20220918T1900,14.070246,0.0,55.984837
20220918T2000,13.860246,0.0,57.194107
20220918T2100,13.740245,0.0,57.242764
20220918T2200,13.670245,0.0,59.00834
20220918T2300,13.410245,0.0,60.81912
20220919T0000,13.280245,0.0,59.779015
20220919T0100,12.720245,0.0,62.408974
20220919T0200,12.220245,0.0,64.77148
20220919T0300,11.640245,0.0,68.014534
20220919T0400,10.890245,0.0,72.9017
20220919T0500,9.580245,0.0,79.32635
20220919T0600,9.760245,0.0,81.75156
20220919T0700,11.790245,0.0,71.77467
20220919T0800,12.920245,0.0,66.02002
20220919T0900,13.800245,0.0,61.508793
20220919T1000,14.400246,0.0,56.189262
20220919T1100,15.200245,0.0,50.628506
20220919T1200,16.030245,0.0,45.114388
20220919T1300,16.460245,0.0,42.273663
20220919T1400,16.870245,0.0,42.155197
20220919T1500,16.860245,0.0,41.530346
20220919T1600,16.590246,0.0,44.019897
20220919T1700,16.000246,0.0,41.305492
20220919T1800,13.920245,0.0,53.678074
20220919T1900,12.170245,0.0,63.818317
20220919T2000,11.850245,0.0,64.9573
20220919T2100,11.420245,0.0,67.072
20220919T2200,10.150246,0.0,72.80971
20220919T2300,9.870245,0.0,73.677025
20220920T0000,9.430245,0.0,74.68449
20220920T0100,8.740245,0.0,76.41432
20220920T0200,8.300245,0.0,78.51569
20220920T0300,7.8502455,0.0,80.51183
20220920T0400,7.0502453,0.0,83.21985
20220920T0500,6.4902453,0.0,85.16644
20220920T0600,6.610245,0.0,87.368195
20220920T0700,9.290245,0.0,84.3284
20220920T0800,11.880245,0.0,72.738914
20220920T0900,13.600245,0.0,67.27148
20220920T1000,15.030245,0.0,59.228508
20220920T1100,15.780245,0.0,54.63203
20220920T1200,16.210245,0.0,52.66937
20220920T1300,16.720245,0.0,49.896
20220920T1400,16.420246,0.0,50.299507
20220920T1500,15.910245,0.0,50.26242
20220920T1600,15.380245,0.0,51.68036
20220920T1700,14.3102455,0.0,56.283123
20220920T1800,11.920245,0.0,67.41643
20220920T1900,11.000245,0.0,71.76787
20220920T2000,10.700245,0.0,73.679634
20220920T2100,10.460245,0.0,74.61337
20220920T2200,9.840245,0.0,85.32956
20220920T2300,9.240245,0.0,88.126076
20220921T0000,8.510245,0.0,90.45802
20220921T0100,7.5902452,0.0,93.05305
20220921T0200,6.5802455,0.0,94.95269
20220921T0300,6.0602455,0.0,95.65849
20220921T0400,5.400245,0.0,96.30123
20220921T0500,5.0702453,0.0,95.8811
20220921T0600,6.150245,0.0,94.46698
20220921T0700,9.100245,0.0,85.30176
20220921T0800,11.240245,0.0,75.89783
20220921T0900,13.220245,0.0,67.74563
20220921T1000,15.170245,0.0,58.41274
20220921T1100,16.700245,0.0,49.47642
20220921T1200,17.620245,0.0,42.884068
20220921T1300,18.050245,0.0,40.519012
20220921T1400,18.450245,0.0,38.819477
20220921T1500,18.430244,0.0,38.813587
20220921T1600,17.860245,0.0,41.008553
20220921T1700,15.710245,0.0,51.268845
20220921T1800,13.030245,0.0,60.598152
20220921T1900,11.180245,0.0,69.25399
20220921T2000,9.690246,0.0,75.78306
20220921T2100,8.970245,0.0,78.18621
20220921T2200,8.030246,0.0,81.963104
20220921T2300,7.2202454,0.0,84.83764
20220922T0000,7.1602454,0.0,84.83019
20220922T0100,6.670245,0.0,85.91181
20220922T0200,6.0702453,0.0,87.86644
20220922T0300,6.040245,0.0,87.61549
20220922T0400,5.4102454,0.0,89.62014
20220922T0500,4.4502454,0.0,92.77493
20220922T0600,4.940245,0.0,94.39801
20220922T0700,8.3102455,0.0,82.57745
20220922T0800,10.920245,0.0,68.573395
20220922T0900,12.780245,0.0,61.516224
20220922T1000,14.700245,0.0,58.05172
20220922T1100,16.160246,0.0,55.26341
20220922T1200,17.460245,0.0,52.753334
20220922T1300,18.300245,0.0,49.955402
20220922T1400,18.840246,0.0,47.661366
20220922T1500,18.910246,0.0,46.355816
20220922T1600,18.560246,0.0,47.648212
20220922T1700,16.010246,0.0,61.45181
20220922T1800,13.460245,0.0,68.263794
20220922T1900,12.420245,0.0,71.55305
20220922T2000,10.370245,0.0,79.065956
20220922T2100,8.750245,0.0,85.37868
20220922T2200,8.770246,0.0,84.49776
20220922T2300,8.350245,0.0,85.92645
20220923T0000,7.460245,0.0,88.68746
20220923T0100,6.5602455,0.0,91.0557
20220923T0200,6.4502454,0.0,91.23834
20220923T0300,6.3102455,0.0,92.32049
20220923T0400,5.730245,0.0,94.04645
20220923T0500,5.5502453,0.0,94.76548
20220923T0600,6.2002454,0.0,93.87707
20220923T0700,8.800245,0.0,87.59771
20220923T0800,11.650246,0.0,81.06854
20220923T0900,14.430245,0.0,73.912056
20220923T1000,16.800245,0.0,63.370506
20220923T1100,18.580246,0.0,56.958477
20220923T1200,19.770245,0.0,53.909832
20220923T1300,20.500246,0.0,51.518066
20220923T1400,20.460245,0.0,51.889427
20220923T1500,20.190245,0.0,54.346043
20220923T1600,19.690245,0.0,56.13944
20220923T1700,17.640245,0.0,69.03595
20220923T1800,15.650246,0.0,76.58913
20220923T1900,14.8102455,0.1,80.802826
20220923T2000,14.410245,0.1,84.59485
20220923T2100,13.890245,0.5,88.08922
20220923T2200,13.780245,0.4,89.78749
20220923T2300,13.880245,0.3,90.331055
20220924T0000,13.580245,0.1,91.45098
20220924T0100,13.260245,0.1,93.572334
20220924T0200,13.440246,0.2,94.45004
20220924T0300,13.450245,0.3,95.0124
20220924T0400,13.470245,0.4,96.08243
20220924T0500,13.5602455,1.0,96.655304
20220924T0600,13.630245,1.3,95.58383
20220924T0700,13.910245,0.6,94.96877
20220924T0800,14.400246,0.7,94.43104
20220924T0900,14.890245,0.2,90.94051
20220924T1000,15.650246,0.1,83.90386
20220924T1100,16.400246,0.0,80.4367
20220924T1200,16.570246,0.0,78.167076
20220924T1300,17.200245,0.0,75.14032
20220924T1400,17.630245,0.0,68.942474
20220924T1500,17.700245,0.0,66.527824
20220924T1600,17.370245,0.0,69.210915
20220924T1700,15.920245,0.0,76.32859
20220924T1800,14.920245,0.0,79.59178
20220924T1900,13.470245,0.0,87.350784
20220924T2000,12.760245,0.0,90.54688
20220924T2100,11.500245,0.0,93.54033
20220924T2200,10.520246,0.0,99.994125
20220924T2300,10.740245,0.0,98.07154
20220925T0000,10.180245,0.0,97.86143
20220925T0100,10.440246,0.0,97.27674
20220925T0200,10.530245,0.0,96.49699
20220925T0300,10.730246,0.0,96.309296
20220925T0400,10.590245,0.0,95.85164
20220925T0500,10.200245,0.0,97.20446
20220925T0600,10.720245,0.0,98.20279
20220925T0700,11.410245,0.0,98.873314
20220925T0800,12.330245,0.0,94.21036
20220925T0900,13.140245,0.0,89.85582
20220925T1000,13.880245,0.0,86.29507
20220925T1100,14.840245,0.0,81.022026
20220925T1200,15.400246,0.0,79.50321
20220925T1300,15.890245,0.0,75.46678
20220925T1400,15.8102455,0.0,77.02297
20220925T1500,15.470245,0.5,81.00064
20220925T1600,14.790245,0.3,82.15284
20220925T1700,14.160245,0.0,86.438446
20220925T1800,13.530245,0.0,88.584305
20220925T1900,12.580245,0.0,94.28508
20220925T2000,12.580245,0.0,92.36172
20220925T2100,12.500245,0.0,90.28577
20220925T2200,11.800245,0.0,90.83894
20220925T2300,11.390245,0.0,93.471535
20220926T0000,11.220245,0.0,94.662094
20220926T0100,10.940246,0.0,95.80071
20220926T0200,11.160245,0.0,96.51793
20220926T0300,11.3102455,0.0,95.87906
20220926T0400,10.960245,0.0,97.09555
20220926T0500,10.690246,0.0,97.349
20220926T0600,10.490245,0.0,96.82101
20220926T0700,11.330245,0.0,92.84249
20220926T0800,12.440246,0.0,86.25958
20220926T0900,13.650246,0.0,75.23408
20220926T1000,14.940246,0.0,62.29472
20220926T1100,15.300245,0.0,59.051987
20220926T1200,15.040245,0.0,60.799217
20220926T1300,14.520246,0.0,65.25188
20220926T1400,14.740245,0.0,64.901436
20220926T1500,14.640245,0.0,65.9956
20220926T1600,14.420245,0.0,66.899
20220926T1700,14.170245,0.0,66.89024
20220926T1800,13.830245,0.0,69.282005
20220926T1900,12.990245,0.7,72.89967
20220926T2000,12.250245,0.9,77.17067
20220926T2100,11.720245,0.4,80.857895
20220926T2200,11.580245,0.9,86.22598
20220926T2300,11.470245,0.6,87.21173
20220927T0000,11.640245,1.0,86.46597
20220927T0100,11.390245,1.2,89.77389
20220927T0200,10.970245,0.8,90.34795
20220927T0300,10.490245,0.5,90.370995
20220927T0400,10.3102455,0.3,87.92921
20220927T0500,10.160245,0.3,85.132996
20220927T0600,10.020246,0.1,84.650475
20220927T0700,10.400246,0.3,82.80196
20220927T0800,10.710245,0.5,79.665245
20220927T0900,11.240245,0.4,78.498116
20220927T1000,11.110246,0.7,78.42359
20220927T1100,11.330245,0.4,79.16064
20220927T1200,11.270246,0.7,77.75217
20220927T1300,12.330245,0.2,75.207436
20220927T1400,12.220245,0.3,73.0542
20220927T1500,12.020246,0.3,75.87685
20220927T1600,11.610246,0.7,76.53785
20220927T1700,10.990245,0.3,81.69835
20220927T1800,10.880245,0.1,83.83322
20220927T1900,10.780245,1.2,84.74147
20220927T2000,10.750245,0.6,85.60935
20220927T2100,10.8102455,0.3,87.08547
20220927T2200,10.900246,0.1,85.21905
20220927T2300,11.130245,0.1,82.95453
20220928T0000,11.150246,0.2,82.844025
20220928T0100,11.280245,0.2,83.14379
20220928T0200,11.170245,0.7,86.6509
20220928T0300,11.200245,1.1,89.274284
20220928T0400,11.230246,0.9,91.410225
20220928T0500,11.410245,0.8,93.59814
20220928T0600,11.470245,1.5,95.18211
20220928T0700,11.610246,1.1,95.570496
20220928T0800,11.830245,1.0,94.31171
20220928T0900,12.080245,0.9,91.83787
20220928T1000,11.750245,0.8,88.48374
20220928T1100,11.620245,0.8,87.699295
20220928T1200,11.750245,0.6,85.14329
20220928T1300,11.750245,0.4,83.20401
20220928T1400,11.760245,0.3,81.47123
20220928T1500,11.800245,0.1,80.92437
20220928T1600,11.470245,0.0,84.99572
20220928T1700,10.660245,0.2,90.0787
20220928T1800,10.030245,0.4,93.64794
20220928T1900,9.880245,0.2,93.57592
20220928T2000,9.860246,0.0,94.532524
20220928T2100,9.540245,0.2,95.74507
20220928T2200,9.090245,0.3,96.7097
20220928T2300,9.070246,0.3,97.634865
20220929T0000,9.350245,0.5,97.245476
20220929T0100,9.260245,0.6,97.2428
20220929T0200,9.360246,0.7,95.34765
20220929T0300,9.350245,0.6,94.89392
20220929T0400,9.340245,0.4,95.02277
20220929T0500,9.300245,0.2,94.82691
20220929T0600,9.240245,0.0,94.69482
20220929T0700,9.700245,0.4,91.79851
20220929T0800,9.900246,0.2,92.628105
20220929T0900,10.620245,0.2,89.587845
20220929T1000,11.380245,0.2,89.83362
20220929T1100,12.020246,0.2,89.52473
20220929T1200,12.500245,0.4,87.72513
20220929T1300,12.540245,0.9,85.92325
20220929T1400,12.490245,1.2,83.69188
20220929T1500,12.120245,1.3,84.04287
20220929T1600,12.090245,1.2,85.29714
20220929T1700,11.400246,0.8,91.545395
20220929T1800,10.850245,0.4,92.81328
20220929T1900,10.280245,0.1,95.516594
20220929T2000,9.640245,0.0,97.71608
20220929T2100,9.840245,0.0,96.73483
20220929T2200,10.370245,0.0,94.87764
20220929T2300,10.320246,0.0,95.84116
20220930T0000,10.070246,0.0,96.873116
20220930T0100,10.050245,0.0,96.350266
20220930T0200,9.630245,0.0,97.782005
20220930T0300,10.270246,0.0,96.16319
20220930T0400,10.070246,0.0,96.41611
20220930T0500,9.740245,0.0,96.9939
20220930T0600,8.900246,0.0,98.43114
20220930T0700,9.440246,0.0,97.18217
20220930T0800,10.130245,0.0,93.33666
20220930T0900,11.120245,0.0,88.905785
20220930T1000,12.230246,0.1,84.62542
20220930T1100,13.250245,0.0,79.07771
20220930T1200,14.3102455,0.0,71.483246
20220930T1300,15.010245,0.0,66.66375
20220930T1400,15.220245,0.0,65.18694
20220930T1500,15.100245,0.0,66.18709
20220930T1600,14.700245,0.0,70.02739
20220930T1700,13.490245,0.0,75.61477
20220930T1800,11.5602455,0.0,85.5841
20220930T1900,10.680245,0.0,89.471466
20220930T2000,10.970245,0.0,83.04702
20220930T2100,9.190246,0.0,89.40229
20220930T2200,7.5102453,0.0,93.694534
20220930T2300,8.080246,0.0,91.87175
20221001T0000,7.7802453,0.0,92.04086
20221001T0100,7.920245,0.0,90.8486
20221001T0200,8.280246,0.0,90.00265
20221001T0300,8.910245,0.0,87.48813
20221001T0400,9.650246,0.0,82.75912
20221001T0500,10.070246,0.0,80.50748
20221001T0600,10.750245,0.3,79.83581
20221001T0700,10.740245,0.0,83.07391
20221001T0800,11.0602455,0.5,83.513275
20221001T0900,11.520246,0.6,84.19794
20221001T1000,12.080245,0.3,83.64117
20221001T1100,12.950245,0.0,81.854965
20221001T1200,12.720245,0.0,86.17352
